PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DEARICA HAMBY,LAS,LAS @ MIN,11/6/2023,L,34,9,4,11,36.4,0,1,0,1,2,50,1,8,9,4,0,3,2,4,-3
DEARICA HAMBY,LAS,LAS vs. CHI,9/6/2023,W,30,16,6,14,42.9,0,2,0,4,6,66.7,0,8,8,1,5,0,0,1,7
DEARICA HAMBY,LAS,LAS @ SEA,6/6/2023,L,25,6,2,8,25,0,2,0,2,2,100,1,7,8,1,0,0,1,1,3
DEARICA HAMBY,LAS,LAS vs. SEA,3/6/2023,W,9,4,2,5,40,0,0,0,0,1,0,1,2,3,0,1,0,1,1,8
DEARICA HAMBY,LAS,LAS @ PHO,2/6/2023,W,22,8,3,8,37.5,0,1,0,2,2,100,1,2,3,2,0,0,1,1,6
DEARICA HAMBY,LAS,LAS @ LVA,05/27/2023,L,28,4,2,7,28.6,0,1,0,0,0,0,0,5,5,3,0,0,3,4,-29
DEARICA HAMBY,LAS,LAS vs. LVA,05/25/2023,L,27,11,3,12,25,0,0,0,5,7,71.4,2,3,5,2,3,0,0,4,4
DEARICA HAMBY,LAS,LAS vs. PHO,05/19/2023,W,15,9,1,7,14.3,0,1,0,7,8,87.5,0,3,3,1,0,0,0,2,7
DESTANNI HENDERSON,PHO,PHO vs. IND,08/20/2023,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESTANNI HENDERSON,PHO,PHO vs. NYL,08/18/2023,L,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
DESTANNI HENDERSON,PHO,PHO @ SEA,08/13/2023,L,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-8
DESTANNI HENDERSON,PHO,PHO vs. CON,10/8/2023,W,7,4,1,2,50,0,0,0,2,2,100,1,0,1,1,0,0,1,1,7
DESTANNI HENDERSON,PHO,PHO vs. WAS,8/8/2023,W,16,3,1,5,20,1,3,33.3,0,0,0,0,3,3,1,0,0,0,1,13
DESTANNI HENDERSON,LAS,LAS vs. LVA,12/7/2023,L,13,7,2,4,50,0,0,0,3,3,100,0,1,1,3,1,0,0,1,4
DESTANNI HENDERSON,LAS,LAS @ PHO,9/7/2023,L,18,4,1,3,33.3,0,1,0,2,2,100,1,1,2,2,1,0,1,3,4
DESTANNI HENDERSON,LAS,LAS vs. ATL,5/7/2023,L,10,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,3
DESTANNI HENDERSON,LAS,LAS @ ATL,2/7/2023,L,36,2,1,7,14.3,0,4,0,0,0,0,0,1,1,6,1,0,3,2,-25
DESTANNI HENDERSON,LAS,LAS @ CHI,06/30/2023,L,24,6,1,6,16.7,0,2,0,4,8,50,0,0,0,3,1,0,0,2,-2
DESTANNI HENDERSON,LAS,LAS @ CHI,06/28/2023,L,11,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,-9
DESTANNI HENDERSON,LAS,LAS vs. DAL,06/25/2023,W,18,9,3,6,50,1,3,33.3,2,2,100,0,2,2,3,0,1,3,2,14
DESTANNI HENDERSON,LAS,LAS vs. DAL,06/23/2023,W,26,18,7,14,50,1,4,25,3,4,75,1,0,1,1,2,0,2,1,16
DESTANNI HENDERSON,LAS,LAS vs. MIN,06/20/2023,L,6,2,1,3,33.3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,-8
DESTANNI HENDERSON,LAS,LAS vs. CON,06/18/2023,L,6,2,1,1,100,0,0,0,0,0,0,0,1,1,3,0,0,0,0,-7
DIJONAI CARRINGTON,CON,CON @ WAS,08/22/2023,W,21,2,0,7,0,0,3,0,2,2,100,0,2,2,2,1,0,2,3,5
DIJONAI CARRINGTON,CON,CON @ CHI,08/20/2023,W,17,7,3,5,60,0,1,0,1,2,50,1,2,3,1,1,0,2,2,3
DIJONAI CARRINGTON,CON,CON vs. DAL,08/18/2023,L,19,6,3,3,100,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-10
DIJONAI CARRINGTON,CON,CON @ DAL,12/8/2023,L,19,11,3,8,37.5,3,3,100,2,4,50,1,4,5,1,1,0,2,4,-4
DIJONAI CARRINGTON,CON,CON @ PHO,10/8/2023,L,12,8,2,6,33.3,2,2,100,2,2,100,2,0,2,0,0,0,2,2,-15
DIJONAI CARRINGTON,CON,CON @ SEA,8/8/2023,W,25,9,4,11,36.4,0,1,0,1,1,100,0,2,2,2,2,0,0,3,18
DIJONAI CARRINGTON,CON,CON @ IND,4/8/2023,W,18,11,4,5,80,1,1,100,2,3,66.7,0,2,2,0,2,0,4,1,5
DIJONAI CARRINGTON,CON,CON vs. MIN,1/8/2023,W,11,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,1,2,3,2
DIJONAI CARRINGTON,CON,CON vs. MIN,07/30/2023,L,24,11,4,12,33.3,0,2,0,3,4,75,3,1,4,3,0,0,1,5,0
DIJONAI CARRINGTON,CON,CON @ DAL,07/25/2023,W,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-5
DIJONAI CARRINGTON,CON,CON @ ATL,07/22/2023,W,14,7,1,5,20,0,0,0,5,6,83.3,1,4,5,3,1,0,0,3,11
DIJONAI CARRINGTON,CON,CON vs. ATL,07/20/2023,W,19,9,3,6,50,1,3,33.3,2,4,50,2,2,4,0,0,0,0,2,6
DIJONAI CARRINGTON,CON,CON @ PHO,07/18/2023,L,13,10,4,8,50,2,3,66.7,0,2,0,0,1,1,1,1,0,0,0,2
DIJONAI CARRINGTON,CON,CON @ CHI,12/7/2023,W,26,11,5,12,41.7,0,2,0,1,2,50,2,2,4,1,1,0,0,3,20
DIJONAI CARRINGTON,CON,CON vs. WAS,9/7/2023,W,14,9,3,7,42.9,2,3,66.7,1,2,50,0,2,2,0,0,0,0,0,-15
DIJONAI CARRINGTON,CON,CON @ LVA,1/7/2023,L,22,12,4,9,44.4,1,4,25,3,5,60,1,3,4,3,0,0,1,2,3
DIJONAI CARRINGTON,CON,CON vs. NYL,06/27/2023,L,25,23,8,11,72.7,3,3,100,4,4,100,1,5,6,2,0,0,2,1,8
DIJONAI CARRINGTON,CON,CON vs. CHI,06/25/2023,W,29,17,8,17,47.1,1,4,25,0,0,0,2,5,7,4,2,0,1,3,28
DIJONAI CARRINGTON,CON,CON @ MIN,06/22/2023,W,22,17,5,8,62.5,3,4,75,4,4,100,2,3,5,1,1,0,3,4,1
DIJONAI CARRINGTON,CON,CON @ SEA,06/20/2023,W,13,4,1,5,20,0,1,0,2,2,100,0,1,1,0,0,0,0,3,-2
DIJONAI CARRINGTON,CON,CON @ LAS,06/18/2023,W,21,9,2,5,40,1,1,100,4,4,100,1,2,3,1,2,0,1,4,18
DIJONAI CARRINGTON,CON,CON vs. ATL,06/15/2023,L,29,10,5,10,50,0,1,0,0,1,0,0,2,2,1,2,0,3,2,7
DIJONAI CARRINGTON,CON,CON @ ATL,11/6/2023,W,22,12,3,10,30,0,2,0,6,7,85.7,2,4,6,3,1,1,2,3,25
DIJONAI CARRINGTON,CON,CON vs. LVA,8/6/2023,W,6,1,0,3,0,0,1,0,1,1,100,1,0,1,2,0,0,0,2,-8
DIJONAI CARRINGTON,CON,CON vs. LVA,6/6/2023,L,19,11,4,11,36.4,1,5,20,2,2,100,1,2,3,1,0,0,0,2,7
DIJONAI CARRINGTON,CON,CON vs. DAL,4/6/2023,W,12,3,1,5,20,0,0,0,1,2,50,0,1,1,0,0,0,1,1,-5
DIJONAI CARRINGTON,CON,CON @ MIN,1/6/2023,W,12,7,3,3,100,0,0,0,1,2,50,1,0,1,1,0,0,0,1,-7
DIJONAI CARRINGTON,CON,CON vs. IND,05/30/2023,W,13,6,2,6,33.3,2,5,40,0,0,0,1,3,4,1,0,1,1,2,6
DIJONAI CARRINGTON,CON,CON @ NYL,05/27/2023,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
DIJONAI CARRINGTON,CON,CON @ IND,05/19/2023,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
DIAMOND MILLER,MIN,MIN vs. DAL,08/22/2023,W,11,2,1,6,16.7,0,1,0,0,0,0,1,1,2,2,0,0,1,3,-6
DIAMOND MILLER,MIN,MIN vs. SEA,08/20/2023,L,29,9,3,12,25,0,4,0,3,3,100,2,1,3,6,1,0,3,3,-11
DIAMOND MILLER,MIN,MIN @ SEA,08/18/2023,W,29,7,3,9,33.3,1,2,50,0,0,0,1,1,2,3,0,0,5,2,3
DIAMOND MILLER,MIN,MIN @ IND,10/8/2023,L,22,11,4,12,33.3,1,2,50,2,3,66.7,0,3,3,2,0,1,1,2,-3
DIAMOND MILLER,MIN,MIN @ CHI,8/8/2023,W,34,5,2,7,28.6,1,3,33.3,0,0,0,3,8,11,2,3,1,4,0,9
DIAMOND MILLER,MIN,MIN vs. NYL,4/8/2023,L,33,7,2,12,16.7,0,5,0,3,4,75,0,5,5,2,1,1,3,0,-1
DIAMOND MILLER,MIN,MIN @ CON,1/8/2023,L,34,13,4,14,28.6,1,2,50,4,4,100,0,0,0,6,0,0,6,1,-9
DIAMOND MILLER,MIN,MIN @ CON,07/30/2023,W,19,7,2,7,28.6,0,3,0,3,3,100,0,0,0,2,1,0,3,3,-2
DIAMOND MILLER,MIN,MIN @ NYL,07/28/2023,W,34,22,6,15,40,2,5,40,8,12,66.7,0,5,5,2,1,0,3,4,7
DIAMOND MILLER,MIN,MIN vs. WAS,07/26/2023,W,34,21,9,17,52.9,2,3,66.7,1,1,100,2,1,3,9,0,0,1,3,9
DIAMOND MILLER,MIN,MIN vs. LVA,07/22/2023,L,31,17,7,15,46.7,1,5,20,2,3,66.7,0,5,5,3,0,1,5,3,-20
DIAMOND MILLER,MIN,MIN vs. LAS,07/20/2023,W,35,13,5,13,38.5,1,3,33.3,2,2,100,1,6,7,9,1,1,4,4,11
DIAMOND MILLER,MIN,MIN @ ATL,07/18/2023,L,17,8,3,10,30,1,4,25,1,2,50,1,1,2,0,2,0,2,3,-1
DIAMOND MILLER,MIN,MIN vs. DAL,12/7/2023,L,24,9,4,12,33.3,0,2,0,1,1,100,1,1,2,0,0,0,2,2,-22
DIAMOND MILLER,MIN,MIN vs. LVA,9/7/2023,L,24,15,7,19,36.8,1,2,50,0,0,0,1,3,4,3,0,0,0,2,-1
DIAMOND MILLER,MIN,MIN vs. PHO,7/7/2023,W,21,10,3,9,33.3,1,3,33.3,3,4,75,1,4,5,1,2,1,3,5,-2
DIAMOND MILLER,MIN,MIN vs. IND,5/7/2023,W,24,1,0,5,0,0,2,0,1,2,50,1,4,5,2,0,0,3,1,1
DIAMOND MILLER,MIN,MIN @ PHO,1/7/2023,W,29,25,9,15,60,2,4,50,5,5,100,2,4,6,0,5,0,2,5,0
DIAMOND MILLER,MIN,MIN @ SEA,06/29/2023,W,25,19,7,15,46.7,1,3,33.3,4,6,66.7,0,4,4,2,2,2,2,5,1
DIAMOND MILLER,MIN,MIN vs. SEA,06/27/2023,W,31,18,8,13,61.5,1,2,50,1,1,100,1,3,4,5,0,1,1,2,21
DIAMOND MILLER,MIN,MIN @ DAL,05/30/2023,L,12,8,3,3,100,1,1,100,1,2,50,0,5,5,4,0,0,0,2,10
DIAMOND MILLER,MIN,MIN @ LVA,05/28/2023,L,21,14,4,10,40,0,1,0,6,7,85.7,0,1,1,1,1,1,0,2,-12
DIAMOND MILLER,MIN,MIN @ PHO,05/25/2023,L,26,13,2,9,22.2,0,4,0,9,9,100,0,1,1,1,1,0,1,3,-4
DIAMOND MILLER,MIN,MIN vs. ATL,05/23/2023,L,22,8,3,10,30,0,2,0,2,2,100,1,0,1,3,3,0,2,4,-7
DIAMOND MILLER,MIN,MIN vs. CHI,05/19/2023,L,23,9,3,9,33.3,0,2,0,3,4,75,0,7,7,2,0,1,1,2,-10
DIANA TAURASI,PHO,PHO vs. IND,08/20/2023,L,16,6,1,5,20,0,3,0,4,6,66.7,0,3,3,3,0,0,2,0,-4
DIANA TAURASI,PHO,PHO vs. NYL,08/18/2023,L,25,14,3,16,18.8,3,8,37.5,5,5,100,0,6,6,4,0,0,2,1,-1
DIANA TAURASI,PHO,PHO @ SEA,08/13/2023,L,27,5,2,10,20,0,4,0,1,2,50,0,5,5,7,1,1,0,3,4
DIANA TAURASI,PHO,PHO vs. CON,10/8/2023,W,32,16,5,10,50,4,9,44.4,2,3,66.7,0,2,2,5,1,1,7,4,-3
DIANA TAURASI,PHO,PHO vs. WAS,8/8/2023,W,23,15,4,8,50,3,6,50,4,5,80,1,3,4,4,0,0,3,2,5
DIANA TAURASI,PHO,PHO vs. SEA,5/8/2023,L,32,28,9,20,45,4,11,36.4,6,8,75,0,4,4,2,1,0,1,2,0
DIANA TAURASI,PHO,PHO vs. ATL,3/8/2023,W,30,42,12,21,57.1,6,13,46.2,12,12,100,1,3,4,2,0,0,3,3,31
DIANA TAURASI,PHO,PHO @ IND,1/8/2023,L,30,29,10,16,62.5,5,8,62.5,4,4,100,0,5,5,3,0,0,5,4,1
DIANA TAURASI,PHO,PHO @ CHI,07/30/2023,L,26,24,7,13,53.8,5,10,50,5,5,100,0,6,6,4,1,2,3,1,-13
DIANA TAURASI,PHO,PHO vs. CON,07/18/2023,W,30,15,5,13,38.5,3,8,37.5,2,2,100,0,3,3,4,1,1,1,3,0
DIANA TAURASI,PHO,PHO @ LVA,11/7/2023,L,23,11,3,11,27.3,1,6,16.7,4,4,100,0,1,1,6,0,0,0,3,-16
DIANA TAURASI,PHO,PHO vs. LAS,9/7/2023,W,30,22,7,13,53.8,2,6,33.3,6,6,100,0,4,4,5,0,1,4,4,-7
DIANA TAURASI,PHO,PHO @ NYL,5/7/2023,L,28,23,6,13,46.2,5,9,55.6,6,7,85.7,0,5,5,7,0,0,1,2,0
DIANA TAURASI,PHO,PHO vs. MIN,1/7/2023,L,26,7,3,6,50,1,3,33.3,0,0,0,0,2,2,5,0,0,5,1,4
DIANA TAURASI,PHO,PHO vs. IND,06/29/2023,W,26,17,6,13,46.2,4,9,44.4,1,4,25,0,3,3,6,0,0,2,3,23
DIANA TAURASI,PHO,PHO vs. DAL,06/27/2023,L,27,6,2,7,28.6,1,5,20,1,1,100,0,3,3,2,0,0,4,3,0
DIANA TAURASI,PHO,PHO @ SEA,06/24/2023,L,19,13,4,8,50,1,4,25,4,5,80,0,4,4,1,1,0,1,1,-4
DIANA TAURASI,PHO,PHO vs. SEA,06/13/2023,L,23,0,0,6,0,0,4,0,0,0,0,0,0,0,3,1,1,2,3,-21
DIANA TAURASI,PHO,PHO @ IND,11/6/2023,W,33,18,6,16,37.5,2,8,25,4,5,80,0,6,6,7,2,0,2,2,2
DIANA TAURASI,PHO,PHO @ DAL,9/6/2023,L,28,12,5,9,55.6,1,3,33.3,1,2,50,0,4,4,5,1,1,4,2,-16
DIANA TAURASI,PHO,PHO @ DAL,7/6/2023,L,36,19,7,23,30.4,2,14,14.3,3,4,75,0,6,6,7,2,2,5,5,-8
DIANA TAURASI,PHO,PHO vs. LAS,2/6/2023,L,33,19,7,12,58.3,4,7,57.1,1,1,100,0,1,1,5,0,0,4,4,-6
DIANA TAURASI,PHO,PHO vs. MIN,05/25/2023,W,32,23,5,12,41.7,4,9,44.4,9,10,90,0,3,3,10,1,0,3,1,21
DIANA TAURASI,PHO,PHO vs. CHI,05/21/2023,L,33,16,5,17,29.4,2,9,22.2,4,4,100,0,1,1,6,0,1,5,4,-18
DIANA TAURASI,PHO,PHO @ LAS,05/19/2023,L,28,15,4,15,26.7,1,9,11.1,6,7,85.7,0,7,7,5,0,1,7,4,-17
DORKA JUHÁSZ,MIN,MIN vs. DAL,08/22/2023,W,14,2,1,2,50,0,0,0,0,0,0,3,2,5,7,3,0,2,0,20
DORKA JUHÁSZ,MIN,MIN vs. SEA,08/20/2023,L,15,2,0,2,0,0,1,0,2,2,100,2,4,6,3,0,0,1,1,-4
DORKA JUHÁSZ,MIN,MIN @ SEA,08/18/2023,W,29,7,3,6,50,0,2,0,1,1,100,4,8,12,4,1,0,0,1,13
DORKA JUHÁSZ,MIN,MIN @ IND,10/8/2023,L,13,0,0,2,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,-5
DORKA JUHÁSZ,MIN,MIN @ CON,1/8/2023,L,28,4,2,6,33.3,0,1,0,0,0,0,0,11,11,3,0,0,1,3,-8
DORKA JUHÁSZ,MIN,MIN @ CON,07/30/2023,W,24,11,5,10,50,1,3,33.3,0,1,0,2,4,6,2,1,1,3,3,-10
DORKA JUHÁSZ,MIN,MIN @ NYL,07/28/2023,W,30,13,6,10,60,0,1,0,1,2,50,6,4,10,1,1,0,1,3,-11
DORKA JUHÁSZ,MIN,MIN vs. WAS,07/26/2023,W,25,7,3,7,42.9,0,0,0,1,2,50,5,4,9,2,0,0,0,1,-4
DORKA JUHÁSZ,MIN,MIN vs. LVA,07/22/2023,L,26,8,4,8,50,0,2,0,0,0,0,2,6,8,3,2,0,1,2,-23
DORKA JUHÁSZ,MIN,MIN vs. LAS,07/20/2023,W,33,16,7,10,70,2,3,66.7,0,2,0,4,6,10,3,2,1,1,1,14
DORKA JUHÁSZ,MIN,MIN @ ATL,07/18/2023,L,26,6,1,4,25,1,2,50,3,4,75,1,11,12,1,0,1,2,2,-15
DORKA JUHÁSZ,MIN,MIN vs. DAL,12/7/2023,L,25,5,2,5,40,1,2,50,0,1,0,1,0,1,2,1,1,2,3,-18
DORKA JUHÁSZ,MIN,MIN vs. LVA,9/7/2023,L,24,4,2,6,33.3,0,0,0,0,1,0,0,3,3,4,0,0,2,2,-24
DORKA JUHÁSZ,MIN,MIN vs. PHO,7/7/2023,W,32,5,1,6,16.7,1,2,50,2,2,100,2,8,10,4,2,1,4,3,7
DORKA JUHÁSZ,MIN,MIN vs. IND,5/7/2023,W,28,6,3,6,50,0,1,0,0,1,0,1,2,3,3,1,0,2,3,0
DORKA JUHÁSZ,MIN,MIN @ PHO,1/7/2023,W,30,6,2,3,66.7,0,1,0,2,4,50,2,4,6,2,3,1,1,3,-3
DORKA JUHÁSZ,MIN,MIN @ SEA,06/29/2023,W,31,11,4,5,80,0,0,0,3,4,75,1,7,8,3,1,2,1,3,6
DORKA JUHÁSZ,MIN,MIN vs. SEA,06/27/2023,W,29,10,5,7,71.4,0,0,0,0,0,0,0,12,12,3,1,0,2,1,16
DORKA JUHÁSZ,MIN,MIN vs. CON,06/22/2023,L,26,8,4,7,57.1,0,1,0,0,0,0,2,4,6,2,0,1,1,5,-27
DORKA JUHÁSZ,MIN,MIN @ LAS,06/20/2023,W,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9
DORKA JUHÁSZ,MIN,MIN @ LVA,06/18/2023,L,29,4,2,6,33.3,0,3,0,0,0,0,3,6,9,3,1,1,3,1,-8
DORKA JUHÁSZ,MIN,MIN @ LAS,06/16/2023,W,29,9,3,4,75,1,1,100,2,6,33.3,1,3,4,3,2,1,2,2,6
DORKA JUHÁSZ,MIN,MIN vs. LAS,11/6/2023,W,22,3,1,5,20,1,2,50,0,0,0,1,3,4,2,0,1,2,1,-4
DORKA JUHÁSZ,MIN,MIN vs. IND,9/6/2023,L,25,6,2,4,50,0,2,0,2,2,100,0,2,2,0,2,2,0,3,-4
DORKA JUHÁSZ,MIN,MIN @ WAS,3/6/2023,W,34,7,2,6,33.3,1,3,33.3,2,2,100,3,5,8,3,0,0,2,2,8
DORKA JUHÁSZ,MIN,MIN vs. CON,1/6/2023,L,37,7,2,4,50,1,1,100,2,4,50,2,7,9,1,0,2,1,3,-3
DORKA JUHÁSZ,MIN,MIN @ DAL,05/30/2023,L,9,0,0,1,0,0,0,0,0,0,0,2,1,3,2,0,1,2,2,-7
DORKA JUHÁSZ,MIN,MIN @ LVA,05/28/2023,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORKA JUHÁSZ,MIN,MIN @ PHO,05/25/2023,L,7,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-7
DORKA JUHÁSZ,MIN,MIN vs. ATL,05/23/2023,L,13,0,0,2,0,0,2,0,0,0,0,1,3,4,2,3,0,0,0,-3
DORKA JUHÁSZ,MIN,MIN vs. CHI,05/19/2023,L,15,5,2,3,66.7,0,0,0,1,1,100,1,2,3,0,0,1,1,0,0
DULCY FANKAM MENDJIADEU,SEA,SEA @ CHI,08/22/2023,L,30,6,2,5,40,0,0,0,2,4,50,4,5,9,0,0,0,0,2,-11
DULCY FANKAM MENDJIADEU,SEA,SEA @ MIN,08/20/2023,W,27,8,3,5,60,0,0,0,2,3,66.7,5,10,15,1,0,1,0,3,23
DULCY FANKAM MENDJIADEU,SEA,SEA vs. MIN,08/18/2023,L,13,4,2,3,66.7,0,0,0,0,0,0,3,1,4,1,0,0,0,2,2
DULCY FANKAM MENDJIADEU,SEA,SEA vs. PHO,08/13/2023,W,10,2,1,2,50,0,0,0,0,0,0,3,2,5,1,0,1,3,1,-4
DULCY FANKAM MENDJIADEU,SEA,SEA vs. ATL,10/8/2023,W,15,5,2,5,40,0,0,0,1,2,50,1,4,5,1,1,1,0,2,-6
DULCY FANKAM MENDJIADEU,SEA,SEA vs. CON,8/8/2023,L,28,8,4,6,66.7,0,0,0,0,1,0,6,6,12,1,2,1,4,2,-1
DULCY FANKAM MENDJIADEU,SEA,SEA @ PHO,5/8/2023,W,12,9,4,4,100,0,0,0,1,1,100,4,1,5,0,0,0,1,3,7
DULCY FANKAM MENDJIADEU,SEA,SEA vs. DAL,2/8/2023,L,13,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-7
DULCY FANKAM MENDJIADEU,SEA,SEA @ IND,07/30/2023,W,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,-1
DULCY FANKAM MENDJIADEU,SEA,SEA @ CHI,07/28/2023,W,15,4,2,5,40,0,0,0,0,0,0,2,4,6,1,0,0,2,1,14
DULCY FANKAM MENDJIADEU,SEA,SEA @ NYL,07/25/2023,L,15,6,3,4,75,0,0,0,0,0,0,0,4,4,0,1,0,0,4,11
DULCY FANKAM MENDJIADEU,SEA,SEA vs. CHI,07/22/2023,L,9,0,0,5,0,0,0,0,0,0,0,1,2,3,0,0,0,0,2,-12
DULCY FANKAM MENDJIADEU,SEA,SEA vs. LVA,07/20/2023,L,16,0,0,1,0,0,1,0,0,4,0,1,1,2,0,1,1,3,4,-11
DULCY FANKAM MENDJIADEU,SEA,SEA @ ATL,12/7/2023,L,21,13,6,11,54.5,0,0,0,1,5,20,2,4,6,0,0,0,1,5,6
DULCY FANKAM MENDJIADEU,SEA,SEA @ WAS,11/7/2023,L,31,12,6,9,66.7,0,0,0,0,0,0,5,6,11,0,1,1,2,2,-11
DULCY FANKAM MENDJIADEU,SEA,SEA @ NYL,8/7/2023,L,37,12,5,7,71.4,0,0,0,2,4,50,5,9,14,1,1,2,1,3,-4
DULCY FANKAM MENDJIADEU,SEA,SEA @ CON,6/7/2023,L,17,8,4,7,57.1,0,0,0,0,0,0,1,1,2,0,0,0,2,3,7
DULCY FANKAM MENDJIADEU,SEA,SEA vs. NYL,2/7/2023,L,17,5,1,3,33.3,0,0,0,3,4,75,2,3,5,1,1,0,1,3,7
DULCY FANKAM MENDJIADEU,SEA,SEA vs. MIN,06/29/2023,L,27,8,4,7,57.1,0,0,0,0,0,0,2,7,9,0,2,2,1,3,9
DULCY FANKAM MENDJIADEU,SEA,SEA vs. PHO,06/24/2023,W,4,4,1,2,50,0,0,0,2,2,100,1,0,1,0,0,0,2,4,3
DULCY FANKAM MENDJIADEU,SEA,SEA @ DAL,06/17/2023,W,2,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,1,-1
DULCY FANKAM MENDJIADEU,SEA,SEA @ LVA,06/15/2023,L,11,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,3,-20
DULCY FANKAM MENDJIADEU,SEA,SEA @ PHO,06/13/2023,W,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,-6
DULCY FANKAM MENDJIADEU,SEA,SEA vs. WAS,11/6/2023,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DULCY FANKAM MENDJIADEU,SEA,SEA vs. WAS,9/6/2023,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DULCY FANKAM MENDJIADEU,SEA,SEA vs. LAS,6/6/2023,W,11,3,1,1,100,0,0,0,1,2,50,0,3,3,1,0,0,0,3,2
DULCY FANKAM MENDJIADEU,SEA,SEA vs. LVA,05/20/2023,L,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-10
ELENA DELLE DONNE,WAS,WAS @ IND,08/18/2023,W,11,6,1,5,20,1,2,50,3,3,100,0,2,2,1,1,1,2,2,0
ELENA DELLE DONNE,WAS,WAS @ CON,9/7/2023,L,13,0,0,3,0,0,0,0,0,0,0,0,2,2,2,2,0,1,1,-1
ELENA DELLE DONNE,WAS,WAS @ ATL,06/30/2023,L,34,31,13,19,68.4,1,2,50,4,4,100,2,3,5,0,0,0,0,4,-10
ELENA DELLE DONNE,WAS,WAS vs. ATL,06/28/2023,W,26,25,10,17,58.8,0,3,0,5,5,100,1,6,7,4,0,2,1,3,25
ELENA DELLE DONNE,WAS,WAS @ NYL,06/25/2023,L,36,15,6,15,40,1,3,33.3,2,2,100,0,6,6,3,1,1,1,4,5
ELENA DELLE DONNE,WAS,WAS @ CHI,06/22/2023,W,28,18,7,14,50,1,2,50,3,3,100,2,6,8,4,0,1,2,1,3
ELENA DELLE DONNE,WAS,WAS vs. CHI,06/18/2023,W,27,20,5,15,33.3,1,2,50,9,9,100,2,4,6,2,2,0,0,1,14
ELENA DELLE DONNE,WAS,WAS vs. PHO,06/16/2023,W,29,17,7,12,58.3,1,3,33.3,2,2,100,0,1,1,3,1,0,0,3,10
ELENA DELLE DONNE,WAS,WAS @ IND,06/13/2023,L,28,17,6,14,42.9,1,4,25,4,4,100,1,5,6,1,0,3,2,2,-12
ELENA DELLE DONNE,WAS,WAS @ SEA,9/6/2023,W,26,11,5,12,41.7,0,3,0,1,1,100,3,4,7,3,1,0,5,3,21
ELENA DELLE DONNE,WAS,WAS vs. MIN,3/6/2023,L,33,12,4,12,33.3,0,1,0,4,4,100,2,5,7,2,1,1,2,3,7
ELENA DELLE DONNE,WAS,WAS vs. DAL,2/6/2023,W,33,23,7,15,46.7,3,6,50,6,6,100,0,10,10,3,1,1,2,3,12
ELENA DELLE DONNE,WAS,WAS @ CHI,05/26/2023,W,31,25,10,17,58.8,3,5,60,2,3,66.7,1,2,3,2,0,1,1,0,-1
ELENA DELLE DONNE,WAS,WAS vs. CON,05/23/2023,L,36,27,11,18,61.1,2,3,66.7,3,3,100,4,3,7,4,0,1,2,2,1
ELENA DELLE DONNE,WAS,WAS @ CON,05/21/2023,L,33,19,7,17,41.2,1,3,33.3,4,5,80,0,11,11,1,1,2,4,5,-4
ELENA DELLE DONNE,WAS,WAS vs. NYL,05/19/2023,W,33,13,5,9,55.6,1,1,100,2,2,100,0,4,4,5,2,1,2,1,12
ELIZABETH WILLIAMS,CHI,CHI vs. SEA,08/22/2023,W,23,8,4,8,50,0,0,0,0,0,0,0,5,5,0,0,1,0,2,12
ELIZABETH WILLIAMS,CHI,CHI vs. CON,08/20/2023,L,37,14,6,10,60,0,0,0,2,3,66.7,1,2,3,6,2,0,2,0,-1
