PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BETNIJAH LANEY,NYL,NYL @ CHI,2/6/2023,W,31,17,8,14,57.1,1,1,100,0,0,0,0,3,3,2,1,0,0,2,-5
BETNIJAH LANEY,NYL,NYL @ SEA,05/30/2023,W,32,6,3,7,42.9,0,2,0,0,0,0,0,3,3,3,0,0,1,1,-5
BETNIJAH LANEY,NYL,NYL vs. CON,05/27/2023,W,27,2,1,3,33.3,0,1,0,0,0,0,0,4,4,1,1,0,2,2,4
BETNIJAH LANEY,NYL,NYL vs. IND,05/21/2023,W,23,5,2,8,25,1,3,33.3,0,0,0,1,2,3,3,1,0,3,3,8
BETNIJAH LANEY,NYL,NYL @ WAS,05/19/2023,L,27,10,3,9,33.3,2,3,66.7,2,2,100,1,1,2,2,1,0,3,2,-15
BREANNA STEWART,NYL,NYL @ PHO,08/18/2023,W,30,12,4,10,40,2,4,50,2,2,100,0,8,8,0,2,2,0,1,19
BREANNA STEWART,NYL,NYL @ LVA,08/17/2023,L,37,13,3,15,20,1,7,14.3,6,7,85.7,1,6,7,4,1,4,2,0,-11
BREANNA STEWART,NYL,NYL @ IND,08/13/2023,W,36,42,15,23,65.2,5,10,50,7,8,87.5,2,4,6,6,3,3,1,3,11
BREANNA STEWART,NYL,NYL vs. CHI,11/8/2023,W,32,21,8,16,50,2,4,50,3,4,75,2,10,12,6,1,1,1,2,17
BREANNA STEWART,NYL,NYL vs. LVA,6/8/2023,W,34,23,8,20,40,4,9,44.4,3,3,100,0,6,6,5,3,3,0,0,35
BREANNA STEWART,NYL,NYL @ MIN,4/8/2023,W,37,17,8,21,38.1,1,6,16.7,0,0,0,3,5,8,2,0,2,2,4,10
BREANNA STEWART,NYL,NYL @ LAS,1/8/2023,W,38,16,7,19,36.8,1,9,11.1,1,2,50,5,7,12,4,4,3,1,3,9
BREANNA STEWART,NYL,NYL @ LAS,07/30/2023,W,33,25,9,18,50,3,9,33.3,4,6,66.7,2,7,9,2,1,3,3,2,13
BREANNA STEWART,NYL,NYL vs. MIN,07/28/2023,L,35,23,5,19,26.3,3,9,33.3,10,11,90.9,1,5,6,5,1,0,0,2,-2
BREANNA STEWART,NYL,NYL vs. ATL,07/27/2023,W,32,33,8,17,47.1,3,8,37.5,14,16,87.5,0,12,12,5,0,1,0,1,15
BREANNA STEWART,NYL,NYL vs. SEA,07/25/2023,W,37,22,9,18,50,1,4,25,3,4,75,0,7,7,1,0,3,2,0,-3
BREANNA STEWART,NYL,NYL vs. IND,07/23/2023,W,26,11,4,11,36.4,0,1,0,3,4,75,2,2,4,3,2,0,2,0,8
BREANNA STEWART,NYL,NYL @ WAS,07/21/2023,W,36,24,9,17,52.9,3,5,60,3,3,100,2,8,10,0,1,0,0,2,15
BREANNA STEWART,NYL,NYL vs. DAL,07/19/2023,L,35,25,9,19,47.4,1,4,25,6,7,85.7,1,5,6,2,0,2,2,1,-14
BREANNA STEWART,NYL,NYL @ IND,12/7/2023,W,41,18,4,15,26.7,2,5,40,8,8,100,0,10,10,3,2,0,1,1,11
BREANNA STEWART,NYL,NYL vs. SEA,8/7/2023,W,37,25,8,17,47.1,4,7,57.1,5,5,100,1,7,8,3,1,0,1,2,4
BREANNA STEWART,NYL,NYL vs. PHO,5/7/2023,W,38,43,13,20,65,3,4,75,14,16,87.5,1,11,12,6,1,2,2,2,11
BREANNA STEWART,NYL,NYL @ SEA,2/7/2023,W,35,20,8,19,42.1,2,5,40,2,2,100,1,7,8,6,5,1,2,3,19
BREANNA STEWART,NYL,NYL @ LVA,06/29/2023,L,28,16,6,15,40,1,4,25,3,4,75,3,2,5,3,0,0,2,0,-19
BREANNA STEWART,NYL,NYL @ CON,06/27/2023,W,36,24,11,17,64.7,2,2,100,0,0,0,0,9,9,3,1,0,1,2,5
BREANNA STEWART,NYL,NYL vs. WAS,06/25/2023,W,40,18,4,17,23.5,0,5,0,10,11,90.9,2,4,6,3,1,1,4,5,1
BREANNA STEWART,NYL,NYL @ ATL,06/23/2023,W,26,13,4,11,36.4,0,2,0,5,7,71.4,2,9,11,6,2,0,1,3,15
BREANNA STEWART,NYL,NYL vs. PHO,06/18/2023,W,32,28,7,13,53.8,3,6,50,11,13,84.6,3,11,14,7,1,0,1,0,25
BREANNA STEWART,NYL,NYL vs. ATL,06/13/2023,L,37,12,1,14,7.1,0,5,0,10,12,83.3,3,10,13,6,1,4,4,4,-10
BREANNA STEWART,NYL,NYL vs. DAL,11/6/2023,W,36,32,15,20,75,2,4,50,0,0,0,2,7,9,5,1,3,1,0,19
BREANNA STEWART,NYL,NYL @ ATL,9/6/2023,W,30,25,7,17,41.2,4,6,66.7,7,7,100,1,8,9,1,1,4,1,3,25
BREANNA STEWART,NYL,NYL vs. CHI,4/6/2023,L,33,20,8,14,57.1,1,4,25,3,5,60,0,11,11,4,1,1,3,3,-10
BREANNA STEWART,NYL,NYL @ CHI,2/6/2023,W,37,19,7,16,43.8,3,8,37.5,2,2,100,2,9,11,5,1,2,3,3,1
BREANNA STEWART,NYL,NYL @ SEA,05/30/2023,W,37,25,8,14,57.1,1,3,33.3,8,9,88.9,1,10,11,1,2,2,1,2,7
BREANNA STEWART,NYL,NYL vs. CON,05/27/2023,W,33,21,7,16,43.8,3,6,50,4,7,57.1,2,4,6,5,6,4,1,2,13
BREANNA STEWART,NYL,NYL vs. IND,05/21/2023,W,30,45,15,21,71.4,6,9,66.7,9,9,100,0,12,12,3,1,1,1,3,27
BREANNA STEWART,NYL,NYL @ WAS,05/19/2023,L,34,12,3,10,30,0,5,0,6,7,85.7,3,9,12,3,2,0,4,4,-11
BRIANNA TURNER,PHO,PHO vs. IND,08/20/2023,L,31,2,1,3,33.3,0,0,0,0,0,0,2,7,9,0,1,1,1,5,-5
BRIANNA TURNER,PHO,PHO vs. NYL,08/18/2023,L,30,8,4,5,80,0,0,0,0,0,0,2,6,8,1,1,2,2,1,-7
BRIANNA TURNER,PHO,PHO @ SEA,08/13/2023,L,31,8,4,4,100,0,0,0,0,1,0,3,2,5,1,3,0,1,1,-7
BRIANNA TURNER,PHO,PHO vs. CON,10/8/2023,W,29,6,3,4,75,0,0,0,0,0,0,1,3,4,2,1,2,3,2,9
BRIANNA TURNER,PHO,PHO vs. WAS,8/8/2023,W,24,4,2,4,50,0,0,0,0,0,0,0,9,9,1,0,1,0,0,0
BRIANNA TURNER,PHO,PHO vs. SEA,5/8/2023,L,32,6,3,3,100,0,0,0,0,0,0,0,5,5,3,3,1,1,0,-4
BRIANNA TURNER,PHO,PHO vs. ATL,3/8/2023,W,23,0,0,2,0,0,0,0,0,0,0,1,7,8,0,0,0,1,3,12
BRIANNA TURNER,PHO,PHO @ IND,1/8/2023,L,32,2,1,1,100,0,0,0,0,0,0,1,7,8,3,2,2,2,2,1
