Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Karlie Samuelson,TOT,F,14,206,14,3,14.7,1.1,3.1,0.364,0.9,2.2,0.387,0.3,0.9,0.308,0.5,0.6,0.778,0.2,1.9,0.8,0.5,0,0.6,1.5,3.6
Kiah Stokes,TOT,C,24,443,24,8,18.5,0.7,1.2,0.571,0,0.1,0.5,0.6,1.1,0.577,0.2,0.3,0.667,1.5,5.4,0.8,0.4,0.7,0.5,1.4,1.5
Shatori Walker-Kimbrough,TOT,G,17,350,17,13,20.6,2.4,4.6,0.513,0.5,1.5,0.32,1.9,3.1,0.604,1.8,2.1,0.857,0.2,1.4,0.9,0.7,0.3,1.2,1.6,6.9
Kristine Anigwe,DAL,F-C,3,30,3,0,10,1,2,0.5,0,0,,1,2,0.5,0.3,0.7,0.5,0.3,2,0,0.3,0,0.7,2.3,2.3
Cierra Burdick,PHO,F,4,19,4,0,4.8,0.5,1,0.5,0,0,,0.5,1,0.5,0,0,,0.8,1.8,0.8,0.3,0.3,0.3,0.5,1
Emma Cannon,LVA,F,3,17,3,0,5.7,0.7,1.7,0.4,0,0.7,0,0.7,1,0.667,0.7,0.7,1,0.7,1.7,0.3,0,0.3,1,1,2
Layshia Clarendon,NYL,G,1,3,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,2,1,0
Lauren Cox,IND,F,11,95,11,0,8.6,0.5,1.7,0.316,0.1,0.3,0.333,0.5,1.5,0.313,0.2,0.2,1,0.5,2,0.3,0.4,0.3,0.6,0.8,1.4
Candice Dupree,SEA,F,16,260,16,2,16.3,2.6,5.9,0.436,0.1,0.3,0.25,2.5,5.6,0.444,0.7,0.7,1,0.5,2.5,0.7,0.4,0.2,0.8,1.3,5.9
Dana Evans,DAL,G,6,24,6,0,4,0.2,1,0.167,0.2,0.5,0.333,0,0.5,0,0.3,0.3,1,0,0,0.5,0,0,0.7,0.5,0.8
Bria Holmes,LAS,G,17,312,17,5,18.4,1.8,5.6,0.326,0.5,1.9,0.242,1.4,3.6,0.371,0.8,1.4,0.565,1.2,2.8,1.2,0.9,0.4,1.2,1.2,4.9
Joyner Holmes,NYL,F,1,5,1,0,5,0,0,,0,0,,0,0,,0,0,,0,0,1,0,0,1,1,0
Natasha Mack,CHI,F,3,16,3,0,5.3,0.7,1,0.667,0,0,,0.7,1,0.667,0.7,0.7,1,0.3,1.3,0,0,0,0.7,0.7,2
Karlie Samuelson,LAS,F,11,174,11,3,15.8,1.2,3.1,0.382,1,2.1,0.478,0.2,1,0.182,0.5,0.6,0.714,0.3,2.3,0.8,0.6,0,0.5,1.8,3.8
Kiah Stokes,NYL,C,9,135,9,0,15,0.7,1.2,0.545,0.1,0.2,0.5,0.6,1,0.556,0.2,0.2,1,0.9,4.2,0.6,0.4,0.7,0.7,1.6,1.7
Shatori Walker-Kimbrough,CON,G,1,4,1,0,4,0,0,,0,0,,0,0,,0,0,,0,1,0,0,1,1,1,0
Layshia Clarendon,MIN,G,21,540,21,20,25.7,4.4,8.5,0.517,0.2,0.7,0.357,4.1,7.8,0.53,1.4,1.8,0.784,0.6,3.1,5.7,0.6,0,3,2.8,10.4
Joyner Holmes,LVA,F,4,23,4,0,5.8,1.3,2.5,0.5,0.8,1,0.75,0.5,1.5,0.333,0,0,,0,1,0.5,0,0.3,0.3,0.5,3.3
Shatori Walker-Kimbrough,WAS,G,16,346,16,13,21.6,2.5,4.9,0.513,0.5,1.6,0.32,2,3.3,0.604,1.9,2.2,0.857,0.3,1.4,1,0.8,0.3,1.2,1.7,7.4
Kristine Anigwe,LAS,F-C,7,106,7,1,15.1,1.3,3.3,0.391,0,0,,1.3,3.3,0.391,1.3,2.3,0.563,1.4,3.9,0.7,0.6,0.1,1.4,3,3.9
Emma Cannon,CON,F,5,58,5,0,11.6,1.6,3.4,0.471,0.8,1.6,0.5,0.8,1.8,0.444,0.2,0.4,0.5,1,3,0.8,0,0.2,1,2,4.2
Natasha Mack,MIN,F,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Cierra Burdick,MIN,F,3,10,3,0,3.3,0.7,1,0.667,0,0,,0.7,1,0.667,0.7,1,0.667,0,0.3,0,0,0,0,0,2
Dana Evans,CHI,G,23,197,23,0,8.6,1.1,3.2,0.356,0.7,1.8,0.405,0.4,1.3,0.29,0.9,1,0.875,0,0.5,1.2,0.2,0,0.6,0.8,3.9
Cierra Burdick,SEA,F,7,35,7,0,5,0.1,0.6,0.25,0,0,,0.1,0.6,0.25,0.1,0.3,0.5,0.6,1.7,0.4,0.3,0.3,0.3,0.6,0.4
Emma Cannon,IND,F,12,220,12,6,18.3,2.9,6.6,0.443,0.3,1.2,0.214,2.7,5.4,0.492,0.8,1.2,0.714,1.5,4.5,1,0.4,0.2,2,2.4,6.9
Kiah Stokes,LVA,C,15,308,15,8,20.5,0.7,1.1,0.588,0,0,,0.7,1.1,0.588,0.1,0.3,0.5,1.8,6.1,1,0.4,0.7,0.5,1.3,1.5
