Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Marie Gulich,LAS,C,12,119,12,1,9.9,1.1,2.2,0.5,0,0.3,0,1.1,1.9,0.565,0.3,0.3,1,0.4,1.5,0.6,0.3,0.3,0.4,1.9,2.4
Megan Gustafson,DAL,C,10,48,10,0,4.8,0.4,1.4,0.286,0,0.1,0,0.4,1.3,0.308,0.6,0.9,0.667,0.6,1.1,0.1,0,0.1,0.2,0.9,1.4
Dearica Hamby,LVA,F,22,622,22,0,28.3,5,9.3,0.539,0.8,1.7,0.474,4.2,7.5,0.554,2.2,3,0.716,1.3,7.1,2.7,1.7,0.2,2,2.3,13
Isabelle Harrison,DAL,F,13,258,13,11,19.8,2.6,5.8,0.447,0,0.2,0,2.6,5.6,0.466,1.2,1.5,0.789,1.5,4.6,1.5,0.7,0.4,1.4,2.5,6.4
Mikiah Herbert Harrigan,MIN,F,21,234,21,0,11.1,1.4,3.9,0.366,0.7,1.6,0.424,0.8,2.3,0.327,0.2,0.3,0.714,0.7,2.3,0.3,0.4,0.4,0.7,1,3.8
Tyasha Harris,DAL,G,21,412,21,3,19.6,2.6,6,0.433,0.9,2.7,0.339,1.7,3.4,0.507,0.7,1,0.636,0,1.2,2.7,0.9,0.1,0.9,1.7,6.8
Bria Hartley,PHO,G,13,322,13,3,24.8,5.1,12.1,0.42,1.9,5,0.385,3.2,7.1,0.446,2.5,3.2,0.805,0.4,2.9,4.5,1.2,0,2.1,2.5,14.6
Tianna Hawkins,WAS,F,17,329,17,5,19.4,3.1,7.6,0.408,1,3.4,0.298,2.1,4.3,0.493,1.3,1.5,0.846,0.7,3.5,1,0.8,0.4,1.2,2.6,8.5
Ruthy Hebard,CHI,F,22,320,22,6,14.5,2.6,3.9,0.682,0,0,,2.6,3.9,0.682,0.4,0.5,0.75,0.8,3.9,0.3,0.5,0.4,0.7,1.6,5.7
Natisha Hiedeman,CON,G,22,408,22,4,18.5,2,5.8,0.354,1,2.9,0.359,1,2.9,0.349,1,1.4,0.7,0.4,1.9,1.9,0.4,0,1.1,2,6.1
Myisha Hines-Allen,WAS,F,22,659,22,22,30,6.8,13.4,0.51,1.2,2.8,0.426,5.6,10.6,0.532,2.2,2.6,0.828,1.6,8.9,2.6,1.4,0.2,2.2,2.9,17
Bria Holmes,CON,G,18,291,18,4,16.2,1.9,5.4,0.357,0.6,1.7,0.333,1.4,3.8,0.368,0.4,0.7,0.667,0.7,1.8,1.1,0.7,0.3,1,0.9,4.9
Joyner Holmes,NYL,F,19,190,19,0,10,1.2,3.8,0.306,0.2,1.5,0.107,1,2.3,0.432,0.5,0.6,0.75,0.8,2.7,0.7,0.1,0.1,0.7,0.7,2.9
Natasha Howard,SEA,F,22,463,22,22,21,4,7.5,0.53,0.3,0.9,0.35,3.6,6.5,0.556,1.3,1.6,0.778,2.4,7.1,1,1.7,0.6,2.1,3,9.5
Sabrina Ionescu,NYL,G,3,80,3,3,26.7,6.3,14,0.452,2.3,6.7,0.35,4,7.3,0.545,3.3,3.3,1,0.7,4.7,4,0.7,0,4.3,1.3,18.3
Briann January,CON,G,13,303,13,10,23.3,1.7,5.8,0.293,0.8,2.4,0.355,0.8,3.4,0.25,0.8,0.9,0.833,0.3,1.2,3.4,0.6,0.2,1.2,1.9,5
Moriah Jefferson,DAL,G,9,148,9,6,16.4,2,4.9,0.409,0.2,0.7,0.333,1.8,4.2,0.421,0.8,1.3,0.583,0.9,3.1,2,0.8,0.2,1.7,1.9,5
Glory Johnson,ATL,F,18,277,18,1,15.4,1.7,4.6,0.373,0.6,2.3,0.262,1.1,2.3,0.488,0.7,1.3,0.5,0.4,3.7,0.6,0.8,0.4,0.7,1.5,4.7
Shenise Johnson,MIN,G,17,212,17,4,12.5,1.6,4.8,0.341,0.4,1,0.353,1.3,3.8,0.338,1.5,1.6,0.893,0.6,1.9,1.2,0.9,0.1,1.2,1.1,5.1
Alexis Jones,ATL,G,6,53,6,0,8.8,1.3,3.5,0.381,1.2,3.2,0.368,0.2,0.3,0.5,0.2,0.3,0.5,0,0,0.8,0.5,0,1,0.5,4
Brionna Jones,CON,F,21,549,21,21,26.1,4.7,7.7,0.605,0,0,1,4.6,7.7,0.602,1.8,2.6,0.691,2.8,5.6,1,1.7,0.7,1.6,3.1,11.2
Jazmine Jones,NYL,G,20,428,20,2,21.4,3.5,8.6,0.404,0.8,2.3,0.333,2.7,6.3,0.429,3.2,4,0.788,0.9,4.1,2.3,1.4,0.5,2.9,3,10.8
Paris Kea,NYL,G,11,165,11,5,15,2.5,6.6,0.384,1.2,3,0.394,1.4,3.6,0.375,0.6,0.7,0.875,0.5,2,1.5,0.6,0.3,1.7,1.1,6.9
Betnijah Laney,ATL,G-F,22,738,22,22,33.5,6.5,13.5,0.481,1.4,3.4,0.405,5.1,10.1,0.507,2.8,3.4,0.827,1.1,4.9,4,1.6,0.1,3,2.5,17.2
Crystal Langhorne,SEA,F-C,13,107,13,0,8.2,0.5,1.3,0.412,0.1,0.4,0.2,0.5,0.9,0.5,0.2,0.5,0.5,0.2,2.2,0.5,0.1,0.1,0.8,0.5,1.4
Kiara Leslie,WAS,G,19,414,19,10,21.8,2,5.7,0.352,0.9,2.5,0.362,1.1,3.2,0.344,0.6,0.7,0.923,0.8,3,1.1,0.5,0.4,0.9,1.4,5.5
Jewell Loyd,SEA,G,22,613,22,22,27.9,5.1,11.5,0.443,1.8,4.5,0.39,3.3,7,0.477,3.5,4,0.875,0.6,2.4,3.2,1.5,0.3,1.9,1.5,15.5
Marina Mabrey,DAL,G,19,405,19,12,21.3,3.6,8.3,0.43,2,4.8,0.418,1.6,3.5,0.448,0.8,1.3,0.667,0.6,3.1,2.3,1.3,0.1,1.6,1.9,10
Ezi Magbegor,SEA,C,22,292,22,0,13.3,2.8,5,0.569,0,0.1,0.333,2.8,4.8,0.575,0.9,1.2,0.704,1.1,2.5,0.3,0.5,0.7,0.4,2,6.5
Kayla McBride,LVA,G,22,587,22,22,26.7,4.1,9.6,0.425,1.1,3.3,0.342,3,6.3,0.468,3.2,3.5,0.897,0.4,2.3,2.4,1.2,0.1,1.4,1.4,12.5
Angel McCoughtry,LVA,F-G,22,440,22,22,20,5.3,10.3,0.518,0.7,1.5,0.471,4.6,8.7,0.526,3,3.5,0.882,1.7,5.1,2.5,1.3,0.3,1.7,2.2,14.4
Teaira McCowan,IND,C,22,461,22,10,21,4.1,7.6,0.536,0,0.1,0,4.1,7.5,0.545,2.7,3.6,0.75,3.1,7.3,0.6,0.3,1,2,2.6,10.9
Emma Meesseman,WAS,F,20,634,20,20,31.7,5.5,12,0.454,0.7,2.3,0.289,4.8,9.8,0.492,1.5,1.8,0.829,1.7,5.3,4.5,1.2,0.8,2,1.8,13
Kelsey Mitchell,IND,G,22,706,22,22,32.1,6.3,14,0.448,2.5,6.5,0.389,3.7,7.5,0.5,2.8,3.3,0.849,0.3,2.2,2.8,0.6,0.1,2.5,2.8,17.9
Leilani Mitchell,WAS,G,22,673,22,22,30.6,3.3,8.1,0.408,1.3,4.3,0.305,2,3.8,0.524,1.5,1.8,0.872,0.5,2.8,5.4,0.8,0,1.7,2.1,9.5
Tiffany Mitchell,IND,G,19,502,19,11,26.4,3.9,11.3,0.346,0.9,3.8,0.233,3,7.4,0.404,4.1,4.3,0.951,0.8,3.4,2.6,0.6,0.1,2.4,2.6,12.7
Beatrice Mompremier,CON,F,21,187,21,0,8.9,1,2.2,0.426,0,0,,1,2.2,0.426,0.4,0.9,0.444,1.5,3.3,0.1,0.2,0.6,0.7,1.3,2.3
Kaleena Mosqueda-Lewis,CON,F,16,164,16,0,10.3,1.2,4,0.297,0.8,2.9,0.255,0.4,1.1,0.412,0.3,0.4,0.571,0.1,1.3,0.3,0.2,0.1,0.4,1.1,3.4
Astou Ndour,DAL,C-F,13,151,13,7,11.6,1.5,4.4,0.351,0.5,1.9,0.24,1.1,2.5,0.438,0,0,,1,2.9,0.5,0.2,0.5,0.5,2.2,3.5
Kia Nurse,NYL,G,21,578,21,18,27.5,3.2,11.9,0.273,1.5,6.2,0.238,1.8,5.7,0.311,4.2,4.9,0.864,0.5,2.9,2.3,0.5,0.2,2.2,1.8,12.2
Leaonna Odom,NYL,F,22,453,22,16,20.6,2.2,4.5,0.49,0.2,0.9,0.25,2,3.5,0.551,0.9,1,0.87,1.5,2.3,0.7,0.7,0.4,0.7,1.7,5.5
Arike Ogunbowale,DAL,G,22,748,22,22,34,7.9,19,0.413,2.2,6.5,0.336,5.7,12.5,0.453,4.9,5.7,0.856,0.5,2.8,3.5,1.6,0,2.1,2.5,22.8
Nneka Ogwumike,LAS,F,18,476,18,18,26.4,5.3,9.3,0.569,0.5,1,0.5,4.8,8.3,0.577,2.3,2.7,0.837,1.2,4.8,1.7,1.1,0.2,1.6,2.3,13.3
Candace Parker,LAS,F-C,22,665,22,22,30.2,5.6,11,0.51,0.9,2.2,0.396,4.8,8.9,0.538,2.6,3.5,0.731,1.7,9.7,4.6,1.2,1.2,2.9,2.3,14.7
Cheyenne Parker,CHI,F,20,497,20,13,24.9,4.9,8.8,0.554,0.8,1.6,0.469,4.1,7.2,0.573,2.9,3.4,0.853,2.4,6.4,1.5,1.3,0.9,2.8,3.2,13.4
Theresa Plaisance,CON,F,13,90,13,0,6.9,0.8,2.2,0.379,0.4,1.3,0.294,0.5,0.9,0.5,0.4,0.5,0.833,0.2,1,0.1,0.4,0.2,0.2,1.5,2.5
Aerial Powers,WAS,F-G,6,179,6,6,29.8,5.3,11.5,0.464,1.5,4.3,0.346,3.8,7.2,0.535,4.2,5,0.833,0.3,4.8,2.5,1.5,0,1.8,2.7,16.3
Alexis Prince,CHI,F,2,16,2,0,8,1.5,2.5,0.6,1,1.5,0.667,0.5,1,0.5,0,0,,1,1.5,0,0,0.5,0,0.5,4
Epiphanny Prince,SEA,G,15,190,15,0,12.7,1.5,3.8,0.386,0.6,1.8,0.333,0.9,2,0.433,0.7,0.9,0.846,0.1,1.2,1.4,0.4,0.1,0.8,1.5,4.3
Allie Quigley,CHI,G,22,631,22,22,28.7,5.9,13.1,0.448,2.1,6,0.346,3.8,7,0.535,1.5,1.7,0.919,0.3,2.9,2.4,0.6,0.3,1.3,1.4,15.4
Danielle Robinson,LVA,G,22,492,22,1,22.4,2.8,5.5,0.512,0.2,0.6,0.385,2.6,4.9,0.528,1.5,1.9,0.81,0.2,2.4,3.2,0.9,0.1,1.3,1.7,7.4
Sugar Rodgers,LVA,G,22,263,22,1,12,1.2,3.7,0.321,0.9,2.9,0.313,0.3,0.8,0.353,0.1,0.2,0.75,0.1,1.3,1.4,0.3,0.1,0.7,1.1,3.4
Tierra Ruffin-Pratt,LAS,G,17,251,17,10,14.8,0.7,2.6,0.267,0.4,0.8,0.462,0.4,1.9,0.188,1.1,1.5,0.731,0.5,2.1,0.9,0.6,0.2,0.5,1.6,2.9
Mercedes Russell,SEA,C,22,304,22,2,13.8,1.5,3.5,0.41,0,0,,1.5,3.5,0.41,0.6,1.1,0.56,0.7,3.2,0.6,0.4,0.4,0.7,1,3.5
Satou Sabally,DAL,F,16,450,16,14,28.1,4.2,11.4,0.368,0.8,4.1,0.197,3.4,7.3,0.466,4.7,5.4,0.872,2.6,7.8,2.5,0.9,0.9,2.2,3.1,13.9
Katie Lou Samuelson,DAL,F,22,439,22,4,20,1.8,4.4,0.417,0.9,2.7,0.317,1,1.6,0.583,0.5,0.7,0.733,0.4,2.4,1.4,0.7,0.4,0.5,1.5,5
Kylee Shook,NYL,F,20,290,20,0,14.5,1.6,4,0.405,0.2,0.9,0.176,1.5,3.1,0.468,0.7,0.9,0.824,0.8,2.8,0.6,0.4,0.5,1,1.3,4.1
Odyssey Sims,MIN,G,13,240,13,7,18.5,3.2,8,0.404,0.6,1.8,0.333,2.6,6.2,0.425,2.3,2.5,0.909,0.6,2,3.5,0.5,0.1,1.9,1.7,9.4
Kamiah Smalls,IND,G,7,100,7,0,14.3,1.3,2.9,0.45,1,1.7,0.583,0.3,1.1,0.25,0.3,0.3,1,0.7,1.1,2,0.1,0.1,0.3,0.4,3.9
Alanna Smith,PHO,F,19,296,19,0,15.6,2.3,5.4,0.422,0.5,2.3,0.233,1.7,3.1,0.559,1.1,1.5,0.69,1.1,3.6,1.2,0.3,0.8,0.9,2.5,6.1
Azura Stevens,CHI,F-C,13,355,13,13,27.3,4.5,9.1,0.5,1.2,3,0.385,3.4,6.1,0.557,1.3,1.5,0.85,1.4,5.9,1.5,0.9,1.8,1.5,3,11.5
Breanna Stewart,SEA,F,20,607,20,20,30.4,6.7,14.8,0.451,1.8,4.8,0.368,4.9,10,0.49,4.7,5.2,0.894,1,8.3,3.6,1.7,1.3,2.6,2.3,19.7
Kiah Stokes,NYL,C,22,601,22,22,27.3,2.3,6.2,0.372,0.9,3.9,0.235,1.4,2.4,0.596,0.2,0.3,0.571,1.3,6.7,1.2,0.5,1.2,1.3,2,5.7
Shekinna Stricklen,ATL,F,22,482,22,15,21.9,2.1,6.3,0.341,1.5,4.5,0.333,0.6,1.8,0.359,0.4,0.4,1,0.2,1.9,0.6,0.3,0,0.7,2,6.1
Sug Sutton,WAS,G,12,113,12,0,9.4,1,2.8,0.364,0.4,1.4,0.294,0.6,1.3,0.438,0.4,0.6,0.714,0,0.7,1,0.1,0,0.5,0.9,2.8
Carolyn Swords,LVA,C,22,384,22,21,17.5,1,2.3,0.46,0,0,,1,2.3,0.46,0.8,1,0.773,1.5,4.6,0.9,0.2,0,0.8,1,2.9
Brittney Sykes,LAS,G,21,517,21,14,24.6,3.5,7.1,0.487,0.8,2.3,0.327,2.7,4.8,0.564,2.4,3,0.806,0.8,2.6,2.1,1.5,0.3,1.7,3,10.1
Diana Taurasi,PHO,G,19,533,19,19,28.1,5.1,12.4,0.409,3.2,8.8,0.365,1.8,3.6,0.515,5.4,5.9,0.912,0.1,4.2,4.5,1,0.4,2.3,2.7,18.7
Alyssa Thomas,CON,F,21,689,21,21,32.8,5.8,11.6,0.5,0,0,0,5.8,11.6,0.502,3.9,5.6,0.686,1.9,9,4.8,2,0.3,2.5,2.8,15.5
Jasmine Thomas,CON,G,19,485,19,19,25.5,4,9.9,0.404,1.1,3.3,0.333,2.9,6.6,0.44,1.1,1.2,0.913,0.2,1.7,4,1.3,0.3,2.4,1.6,10.2
Kayla Thornton,DAL,F,22,557,22,14,25.3,2.5,5.7,0.429,1.1,3.3,0.347,1.3,2.5,0.537,1.3,1.5,0.875,1.5,5.1,0.8,0.9,0.2,1.1,3,7.3
Morgan Tuck,SEA,F,10,88,10,0,8.8,0.5,1.6,0.313,0.2,0.9,0.222,0.3,0.7,0.429,0.5,0.8,0.625,0.2,0.6,0.2,0.5,0,0.6,1.2,1.7
Brianna Turner,PHO,F,22,613,22,22,27.9,3,5.2,0.579,0,0,0,3,5.1,0.584,1.2,1.9,0.643,2.6,9,1.8,1.1,2,1.4,3,7.2
Courtney Vandersloot,CHI,G,22,693,22,22,31.5,4.9,9.9,0.491,1.4,3.5,0.395,3.5,6.5,0.542,2.5,2.9,0.889,0.5,3.5,10,1.2,0.4,2.5,2.1,13.6
Kia Vaughn,PHO,C,22,415,22,10,18.9,2.8,5.8,0.488,0,0.1,0,2.8,5.7,0.496,0.5,0.9,0.579,1.1,3.6,1.5,0.5,0.3,1.5,1.8,6.1
Victoria Vivians,IND,G,6,85,6,0,14.2,1.7,4.8,0.345,0.3,1.8,0.182,1.3,3,0.444,1.2,1.3,0.875,0.3,2.3,0.5,0.2,0,1,2.5,4.8
Megan Walker,NYL,F,18,205,18,0,11.4,1.4,4.3,0.321,0.3,2.4,0.14,1.1,1.9,0.543,0.2,0.3,0.6,0.6,1.5,0.3,0.2,0,0.4,0.8,3.3
Shatori Walker-Kimbrough,PHO,G,21,400,21,10,19,2.6,6,0.429,1,2.4,0.431,1.5,3.6,0.427,1.1,1.2,0.92,0.3,1.6,1.5,1.1,0.4,1,1.1,7.3
Avery Warley-Talbert,LVA,C,3,24,3,0,8,1,2.3,0.429,0,0,,1,2.3,0.429,0.7,1,0.667,1.7,2.7,1,0,0,0.7,2,2.7
Sami Whitcomb,SEA,G,22,363,22,0,16.5,2.8,6.4,0.443,1.5,3.8,0.381,1.4,2.5,0.536,1,1,1,0.2,2.3,2,0.7,0.1,1,1.4,8.1
Sydney Wiese,LAS,G,19,363,19,15,19.1,2.5,4.9,0.505,1.3,2.8,0.472,1.2,2.1,0.55,0.6,0.6,0.917,0.3,1.7,1.2,0.6,0.1,1.2,0.9,6.8
Courtney Williams,ATL,G,20,615,20,14,30.8,6.7,15.4,0.436,0.4,1.7,0.235,6.3,13.7,0.462,0.8,1.2,0.696,1.9,7.2,3.2,0.7,0.1,2.7,2,14.6
Elizabeth Williams,ATL,C-F,22,647,22,22,29.4,4,8.1,0.489,0,0,,4,8.1,0.489,2.2,3,0.742,2.2,5.7,1.4,0.8,1.4,1.1,2.6,10.1
Gabby Williams,CHI,F,22,546,22,4,24.8,3,7.2,0.424,0.9,3.2,0.286,2.1,4,0.534,0.7,1.1,0.64,0.9,4,2,1.3,0.2,1.7,1.5,7.7
Riquna Williams,LAS,G,21,444,21,4,21.1,3.9,8.9,0.435,2,4.9,0.422,1.8,4,0.452,0.8,0.9,0.889,0.1,1.8,1.5,1.1,0.3,0.9,2,10.5
Jocelyn Willoughby,NYL,F-G,22,383,22,5,17.4,1.8,5,0.358,0.7,1.7,0.405,1.1,3.3,0.333,1.6,1.9,0.833,0.7,2.4,0.9,0.7,0.3,1.5,2.3,5.8
A'ja Wilson,LVA,F,22,697,22,22,31.7,7.5,15.7,0.48,0,0,,7.5,15.7,0.48,5.4,6.9,0.781,1.5,8.5,2,1.2,2,1.6,2.2,20.5
Jackie Young,LVA,G,22,568,22,0,25.8,4.2,8.6,0.492,0.1,0.6,0.231,4.1,8,0.511,2.4,2.8,0.852,0.8,4.3,3,0.7,0.1,1.6,1.8,11
Amanda Zahui B.,NYL,C,21,531,21,20,25.3,3.1,8.8,0.353,1.6,4.8,0.34,1.5,4,0.369,1.2,1.7,0.694,0.7,8.5,1.9,0.9,1.2,2.6,3.1,9
Essence Carson,TOT,G,21,291,21,2,13.9,1.4,4.7,0.303,0.6,2.1,0.273,0.9,2.6,0.327,0.3,0.5,0.6,0.3,1.7,0.6,0.4,0.1,0.8,1,3.7
Jacki Gemelos,TOT,G,18,222,18,1,12.3,1.1,3.1,0.339,0.5,1.9,0.257,0.6,1.2,0.476,0.1,0.2,0.5,0.2,1.1,0.8,0.3,0.1,0.7,1,2.7
Megan Huff,TOT,F,7,16,7,0,2.3,0,0.4,0,0,0.1,0,0,0.3,0,0,0,,0.3,0.6,0.1,0,0,0.4,0.4,0
Alisia Jenkins,TOT,F,5,28,5,0,5.6,0.4,1.6,0.25,0,0.6,0,0.4,1,0.4,0.8,1.2,0.667,0,0.8,0,0,0,0.6,0.6,1.6
Stella Johnson,TOT,G,9,100,9,2,11.1,1.8,3.8,0.471,1,1.6,0.643,0.8,2.2,0.35,0.6,0.6,1,0.4,1.3,1.3,0.7,0.2,0.4,1.2,5.1
Stephanie Mavunga,TOT,F,10,95,10,0,9.5,1.3,2.9,0.448,0,0.5,0,1.3,2.4,0.542,0.9,1.1,0.818,1,3.3,0.5,0.1,0.2,1.1,1.1,3.5
Erica McCall,TOT,F,20,183,20,0,9.2,0.8,2.3,0.356,0.1,0.2,0.25,0.8,2.1,0.366,0.9,1.1,0.818,1.2,2.5,0.2,0.4,0.4,0.5,1.2,2.6
Shey Peddy,TOT,G,17,257,17,0,15.1,1.1,3.7,0.302,0.2,2,0.118,0.9,1.7,0.517,1.3,1.3,1,0.5,2.1,1.8,1.1,0.1,0.9,1.3,3.8
Essence Carson,WAS,G,10,168,10,0,16.8,1.7,5.9,0.288,0.6,2.3,0.261,1.1,3.6,0.306,0.3,0.6,0.5,0.6,1.8,0.5,0.5,0.1,1,0.9,4.3
Jacki Gemelos,CON,G,6,29,6,0,4.8,0.7,1.3,0.5,0.5,1,0.5,0.2,0.3,0.5,0,0,,0,0.3,0.2,0.3,0,0.5,0.8,1.8
Megan Huff,MIN,F,3,5,3,0,1.7,0,0.3,0,0,0,,0,0.3,0,0,0,,0.7,1,0.3,0,0,0,0.3,0
Alisia Jenkins,IND,F,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,0,0,0
Stella Johnson,CHI,G,4,6,4,0,1.5,0,0.3,0,0,0,,0,0.3,0,0,0,,0,0.5,0,0.3,0,0,0.3,0
Stephanie Mavunga,IND,F,5,59,5,0,11.8,1.6,3.6,0.444,0,0.4,0,1.6,3.2,0.5,1.8,2.2,0.818,1.4,4,0.6,0,0.4,1,0.6,5
Erica McCall,ATL,F,1,5,1,0,5,0,0,,0,0,,0,0,,0,0,,0,2,0,1,0,0,1,0
Shey Peddy,WAS,G,9,116,9,0,12.9,1,3.2,0.31,0.2,1.7,0.133,0.8,1.6,0.5,1.3,1.3,1,0.2,1.2,1.2,0.8,0,0.9,0.9,3.6
Essence Carson,CON,G,11,123,11,2,11.2,1.2,3.6,0.325,0.5,1.9,0.286,0.6,1.7,0.368,0.3,0.4,0.75,0.1,1.5,0.6,0.4,0.1,0.5,1.1,3.2
Jacki Gemelos,WAS,G,12,193,12,1,16.1,1.3,4,0.313,0.5,2.4,0.207,0.8,1.6,0.474,0.2,0.3,0.5,0.3,1.4,1.2,0.3,0.1,0.8,1.1,3.2
Megan Huff,LVA,F,4,11,4,0,2.8,0,0.5,0,0,0.3,0,0,0.3,0,0,0,,0,0.3,0,0,0,0.8,0.5,0
Alisia Jenkins,CHI,F,2,3,2,0,1.5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Stella Johnson,WAS,G,5,94,5,2,18.8,3.2,6.6,0.485,1.8,2.8,0.643,1.4,3.8,0.368,1,1,1,0.8,2,2.4,1,0.4,0.8,2,9.2
Stephanie Mavunga,CHI,F,5,36,5,0,7.2,1,2.2,0.455,0,0.6,0,1,1.6,0.625,0,0,,0.6,2.6,0.4,0.2,0,1.2,1.6,2
Erica McCall,MIN,F,19,178,19,0,9.4,0.8,2.4,0.356,0.1,0.2,0.25,0.8,2.2,0.366,0.9,1.2,0.818,1.2,2.5,0.2,0.3,0.4,0.5,1.2,2.7
Shey Peddy,PHO,G,8,141,8,0,17.6,1.3,4.3,0.294,0.3,2.4,0.105,1,1.9,0.533,1.3,1.3,1,0.9,3,2.4,1.5,0.1,0.9,1.8,4
Alisia Jenkins,PHO,F,2,23,2,0,11.5,1,4,0.25,0,1.5,0,1,2.5,0.4,2,3,0.667,0,1.5,0,0,0,1.5,1.5,4
Natalie Achonwa,IND,F,34,883,34,34,26,4,7.6,0.527,0,0,,4,7.6,0.527,2.2,2.8,0.8,2.5,6.9,1.4,0.9,0.7,1.1,3.1,10.3
Kayla Alexander,IND,C,30,257,30,0,8.6,1.1,2,0.541,0,0,,1.1,2,0.541,0.5,0.6,0.824,0.7,2.2,0.2,0.1,0.3,0.6,1.2,2.7
Lindsay Allen,LVA,G,24,358,24,6,14.9,1.2,3,0.384,0,0.7,0.063,1.1,2.4,0.474,0.7,1,0.708,0.1,1.3,2.9,0.6,0,0.9,0.7,3.1
Rebecca Allen,NYL,G,28,291,28,0,10.4,1.4,3.6,0.376,0.4,1.4,0.263,1,2.3,0.444,0.8,0.9,0.84,0.5,1.7,0.3,0.3,0.4,0.6,1.3,3.8
Ariel Atkins,WAS,G,29,652,29,24,22.5,4.1,9.6,0.432,1.6,4.3,0.357,2.6,5.2,0.493,1.4,1.8,0.824,1,2.4,2.1,1.3,0.3,1.3,2.5,11.3
Seimone Augustus,MIN,G-F,33,864,33,33,26.2,4.7,10.1,0.467,0.6,2,0.318,4.1,8.1,0.504,0.7,1,0.706,0.2,1.8,2.6,0.4,0.2,1.2,1,10.8
Rachel Banham,CON,G,33,424,33,5,12.8,1.7,4,0.414,0.9,2.5,0.37,0.8,1.6,0.481,1,1.2,0.868,0.2,0.9,1.5,0.5,0.1,0.5,1.7,5.2
Alana Beard,LAS,G-F,30,766,30,30,25.5,1.7,4.3,0.392,0.1,0.2,0.4,1.6,4.2,0.392,0.6,0.7,0.81,1.2,3.3,1.7,1.5,0.2,0.7,2.4,4
Hind Ben Abdelkader,IND,G,14,142,14,0,10.1,0.6,3.1,0.186,0.4,2.1,0.207,0.1,1,0.143,0.5,0.6,0.875,0.1,1,0.8,0.3,0.1,0.9,0.7,2.1
Monique Billings,ATL,F,32,353,32,0,11,1.3,2.9,0.441,0,0,,1.3,2.9,0.441,0.8,1,0.75,1.2,2.8,0.4,0.4,0,0.4,1.2,3.3
Sue Bird,SEA,G,31,824,31,31,26.6,3.7,8,0.466,1.9,4.3,0.448,1.8,3.6,0.487,0.8,0.9,0.828,0.2,1.7,7.1,1.1,0.1,1.9,1.2,10.1
Kelsey Bone,LVA,C,32,344,32,10,10.8,1.3,2.5,0.5,0,0,,1.3,2.5,0.5,0.3,0.6,0.5,0.6,2.2,1.2,0.1,0.1,0.9,1.9,2.8
DeWanna Bonner,PHO,F-G,34,1120,34,34,32.9,6.1,13.5,0.452,1.6,5.2,0.313,4.5,8.4,0.539,3.4,4,0.867,1.4,7.2,3.2,1.3,0.4,1.6,1.8,17.3
Brittany Boyd,NYL,G,30,613,30,14,20.4,2.3,5.6,0.414,0.3,0.9,0.37,2,4.7,0.423,1.4,1.8,0.774,0.3,3.9,5.3,1.2,0.1,2.7,2.4,6.4
Imani McGee-Stafford,ATL,C,29,305,29,2,10.5,1.3,3,0.453,0,0,,1.3,3,0.453,0.2,0.5,0.467,1.3,3.4,0.6,0.4,0.4,0.8,1.5,2.9
Jessica Breland,ATL,F,34,899,34,34,26.4,3.6,8.5,0.428,0,0,,3.6,8.5,0.428,1,1.3,0.75,1.7,7.9,2,1.1,1.9,1.7,2.5,8.3
Lexie Brown,CON,G,22,124,22,0,5.6,0.5,2,0.273,0.4,1.3,0.31,0.1,0.7,0.2,0.2,0.3,0.571,0,0.8,0.5,0.3,0,0.5,0.5,1.7
Rebekkah Brunson,MIN,F,25,691,25,25,27.6,2.6,6.3,0.405,0.7,1.9,0.375,1.8,4.4,0.418,1.3,2,0.673,1.5,6.8,2.4,0.8,0.5,1.5,2.4,7.2
Liz Cambage,DAL,C,32,945,32,32,29.5,8.7,14.8,0.589,0.4,1.2,0.324,8.3,13.6,0.611,5.3,7.2,0.738,2.3,9.7,2.3,0.5,1.7,2.8,2.8,23
Jordin Canada,SEA,G,33,543,33,2,16.5,2,5.5,0.357,0.3,1.7,0.182,1.7,3.8,0.433,1.5,2,0.738,0.3,1.5,3.3,0.9,0,1.7,1.2,5.7
Essence Carson,LAS,G,34,786,34,15,23.1,3,6.8,0.435,1.1,3.2,0.361,1.8,3.6,0.5,0.4,0.5,0.938,0.3,2.6,0.9,0.9,0.4,0.6,1.5,7.5
Tina Charles,NYL,C,33,1088,33,33,33,8,16.8,0.473,0.9,2.9,0.326,7,14,0.503,2.8,3.7,0.77,1.9,7,2.7,0.7,0.6,2.8,2.5,19.7
Saniya Chong,DAL,G,5,43,5,0,8.6,0.2,1.2,0.167,0,0.2,0,0.2,1,0.2,0.4,0.6,0.667,0.2,0.8,1,0.6,0,0.2,0.6,0.8
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,27.8,2.2,4.8,0.448,0.7,1.5,0.444,1.5,3.3,0.45,4.3,5.3,0.813,1.8,5.5,1.5,0.3,0.3,1.7,2.3,9.3
